"Record ID","Data Resource ID","Dataset name","Licence","Catalog Number","Taxon Concept ID","Scientific Name","Scientific name (intepreted)","Taxon rank","Common name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Institution Code","Collection Code","record _ number","Occurrence status","Longitude - original","Geodetic Datum","Decimal latitude (WGS84)","Decimal latitude (WGS84)","Coordinate uncertainty in metres","OSGR","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Locality","Individual count","Collector","Year","Month","Date","Basis Of Record - original","Basis of record","Sex","Data Resource ID","Dataset name"
"a2612ac0-35bd-45b9-a4cb-e08b9cc71cbe","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","248687","present","","","52.01276","-0.76073","100.0","SP851356","SP","SP83","SP83M","SP8535","United Kingdom","England","Milton Keynes, Furzton Park, lake","","Brooke, S.; Nau, B.","2006","02","2006-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"9feb92e9-b61f-44b1-9055-0041fdf9160e","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297607","present","","","56.07247","-3.26662","100.0","NT212873","NT","NT28","NT28D","NT2187","United Kingdom","Scotland","Dunearn Loch","","Huxley, T.","2003","02","2003-02-27","","","","dr1418","Aquatic Heteroptera Dataset"
"987224b6-014d-4e71-86ac-c6619bda2f88","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","247140","present","","","51.79748","1.0042","100.0","TM072152","TM","TM01","TM01S","TM0715","United Kingdom","England","East Mersea Coast, dyke 2","","Brooke, S.; Nau, B.","2005","02","2005-02-07","","","","dr1418","Aquatic Heteroptera Dataset"
"8b55cae5-6812-49ba-a51d-d69eacd7e3e7","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282557","present","","","53.25416","-0.58575","100.0","SK944739","SK","SK97","SK97L","SK9473","United Kingdom","England","Burton Pits, Burton","","Merritt, R.","1999","02","1999-02-09","","","","dr1418","Aquatic Heteroptera Dataset"
"7622f522-ec5e-458a-9700-838b2e753d81","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297605","present","","","56.07247","-3.26662","100.0","NT212873","NT","NT28","NT28D","NT2187","United Kingdom","Scotland","Dunearn Loch","","Huxley, T.","2003","02","2003-02-27","","","","dr1418","Aquatic Heteroptera Dataset"
"6e7c8aba-9b37-4ea5-bd42-ae62e6d5cd1a","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282574","present","","","53.36475","-0.93375","100.0","SK710858","SK","SK78","SK78C","SK7185","United Kingdom","England","Lound Sand & Gravel Pits: Chain Bridge Lane","","Merritt, R.","1999","02","1999-02-21","","","","dr1418","Aquatic Heteroptera Dataset"
"6d6d81ff-8288-49c8-a526-7784a0b472ea","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297608","present","","","56.07247","-3.26662","100.0","NT212873","NT","NT28","NT28D","NT2187","United Kingdom","Scotland","Dunearn Loch","","Huxley, T.","2003","02","2003-02-27","","","","dr1418","Aquatic Heteroptera Dataset"
"68104439-34bb-4b90-b81a-854f3344ebbf","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282674","present","","","53.38326","-0.79948","100.0","SK799880","SK","SK78","SK78Z","SK7988","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"5b5a8852-2f2b-4ddb-8a73-9379a7fcbfb4","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","271312","present","","","53.34996","-3.33096","1000.0","SJ1184","SJ","SJ18","SJ18C","SJ1184","United Kingdom","Wales","Talacre, Llawndy & Warren Farms, Ditch 5","","Wallace, I.D.","2001","02","2001-02-12","","","","dr1418","Aquatic Heteroptera Dataset"
"5a7b09c7-fd94-4978-bf9e-d494ff948ee8","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","288072","present","","","53.52498","-0.86034","100.0","SE756037","SE","SE70","SE70L","SE7503","United Kingdom","England","Epworth Turbury: scrape ponds","","Merritt, R.","2002","02","2002-02-14","","","","dr1418","Aquatic Heteroptera Dataset"
