x,y,species cloglog values
434.0,434.0,0.055903845
435.0,435.0,0.15585491
436.0,436.0,0.0069344486
437.0,437.0,0.019202122
438.0,438.0,0.1843042
439.0,439.0,0.057367235
440.0,440.0,0.7959664
441.0,441.0,0.009269982
442.0,442.0,0.45184582
443.0,443.0,0.2946083
444.0,444.0,0.41119218
445.0,445.0,0.012255203
446.0,446.0,0.4855872
447.0,447.0,0.027468419
448.0,448.0,0.52516633
449.0,449.0,0.19958676
450.0,450.0,0.68339276
451.0,451.0,0.09059623
452.0,452.0,0.003298871
453.0,453.0,0.0073847775
454.0,454.0,0.12953235
455.0,455.0,0.072385415
456.0,456.0,0.21292637
457.0,457.0,0.02662748
458.0,458.0,0.5276639
459.0,459.0,0.26614097
460.0,460.0,0.48103476
461.0,461.0,0.38738817
462.0,462.0,0.019230451
463.0,463.0,0.022193782
464.0,464.0,0.19398081
465.0,465.0,0.4421659
466.0,466.0,0.6674851
467.0,467.0,0.03354391
468.0,468.0,0.278431
469.0,469.0,0.19907135
470.0,470.0,0.074984245
471.0,471.0,0.81482273
472.0,472.0,0.443294
473.0,473.0,0.35704422
474.0,474.0,0.111590415
475.0,475.0,0.36486328
476.0,476.0,0.906426
477.0,477.0,0.62686163
478.0,478.0,0.4477135
479.0,479.0,0.005723164
480.0,480.0,0.3589322
481.0,481.0,0.008444848
482.0,482.0,0.45089144
483.0,483.0,0.0725392
484.0,484.0,8.609392E-4
485.0,485.0,0.122703806
486.0,486.0,0.08521244
487.0,487.0,0.57788295
488.0,488.0,0.17013106
489.0,489.0,0.17276928
490.0,490.0,0.6236609
491.0,491.0,0.21347351
492.0,492.0,0.08275895
493.0,493.0,0.0022897378
494.0,494.0,0.72824603
495.0,495.0,0.011503777
496.0,496.0,0.47345445
497.0,497.0,0.12143411
498.0,498.0,0.13293731
499.0,499.0,0.31419247
500.0,500.0,0.14250356
501.0,501.0,0.4588166
502.0,502.0,0.0019827145
503.0,503.0,0.002461731
504.0,504.0,0.12668374
505.0,505.0,0.00910565
506.0,506.0,0.6294303
507.0,507.0,0.69127375
508.0,508.0,0.4790532
509.0,509.0,0.3187697
510.0,510.0,0.1782039
511.0,511.0,0.38222346
512.0,512.0,0.47160265
513.0,513.0,0.09000677
514.0,514.0,0.12729888
515.0,515.0,0.8605774
516.0,516.0,0.6178323
517.0,517.0,5.769413E-4
518.0,518.0,0.094545
519.0,519.0,0.07801585
520.0,520.0,5.642889E-4
521.0,521.0,6.051187E-4
522.0,522.0,0.18169017
523.0,523.0,0.4113463
524.0,524.0,0.7062851
525.0,525.0,0.16954991
526.0,526.0,0.008639903
527.0,527.0,0.4154472
528.0,528.0,0.38237983
529.0,529.0,0.0054837614
530.0,530.0,0.08350235
531.0,531.0,3.740758E-4
532.0,532.0,0.0068730745
533.0,533.0,0.27220848
534.0,534.0,0.14916797
535.0,535.0,0.0017190537
536.0,536.0,4.7852888E-4
537.0,537.0,0.2167522
538.0,538.0,0.68859553
539.0,539.0,0.24755009
540.0,540.0,0.28301275
541.0,541.0,0.019397065
542.0,542.0,0.67849344
543.0,543.0,0.8989012
544.0,544.0,0.013023514
545.0,545.0,0.4002419
546.0,546.0,0.0026353311
547.0,547.0,1.0605151E-4
548.0,548.0,0.400512
549.0,549.0,0.5206169
550.0,550.0,0.17859665
551.0,551.0,0.6320462
552.0,552.0,0.23196267
553.0,553.0,0.008938596
554.0,554.0,0.6473456
555.0,555.0,0.38357782
556.0,556.0,0.7396229
557.0,557.0,0.30760437
558.0,558.0,0.013169458
559.0,559.0,0.08264389
560.0,560.0,0.14688434
561.0,561.0,0.105122946
562.0,562.0,0.13843599
563.0,563.0,0.0018351268
564.0,564.0,0.006471172
565.0,565.0,0.007933267
566.0,566.0,0.01943309
567.0,567.0,0.6992209
568.0,568.0,0.47515395
569.0,569.0,0.6656559
570.0,570.0,0.009136984
571.0,571.0,0.6084191
572.0,572.0,0.007911263
573.0,573.0,0.07052526
574.0,574.0,0.6132764
575.0,575.0,0.103345595
576.0,576.0,0.10534831
577.0,577.0,0.5001673
578.0,578.0,0.15740025
579.0,579.0,0.30054268
580.0,580.0,0.69600207
581.0,581.0,0.50042367
582.0,582.0,0.6551177
583.0,583.0,0.45172793
584.0,584.0,0.15340357
585.0,585.0,0.25143352
586.0,586.0,0.025013039
587.0,587.0,0.13453507
588.0,588.0,0.16005592
589.0,589.0,0.028819079
590.0,590.0,0.014280068
591.0,591.0,0.22849302
592.0,592.0,0.0103122685
593.0,593.0,0.69624776
594.0,594.0,0.8637041
595.0,595.0,0.57598263
596.0,596.0,0.35602188
597.0,597.0,0.37289655
598.0,598.0,0.38006747
599.0,599.0,0.17417024
600.0,600.0,0.012913839
601.0,601.0,0.035450988
602.0,602.0,0.24269746
603.0,603.0,0.3212295
604.0,604.0,0.13729058
605.0,605.0,0.15084493
606.0,606.0,0.0010875886
607.0,607.0,0.25159845
608.0,608.0,0.0013769325
609.0,609.0,0.48840088
610.0,610.0,0.48066625
611.0,611.0,0.029250294
612.0,612.0,0.020406736
613.0,613.0,0.7911707
614.0,614.0,0.37981936
615.0,615.0,0.25233465
616.0,616.0,6.116932E-4
617.0,617.0,0.10870088
618.0,618.0,0.004294258
619.0,619.0,0.84056884
620.0,620.0,0.3692327
621.0,621.0,0.52598447
622.0,622.0,0.60462695
623.0,623.0,0.49014938
624.0,624.0,0.004975461
625.0,625.0,0.017486507
626.0,626.0,0.27361774
627.0,627.0,0.9018472
628.0,628.0,0.16897367
629.0,629.0,0.48361924
630.0,630.0,0.09442403
631.0,631.0,0.31176326
632.0,632.0,0.015063124
633.0,633.0,0.31816885
634.0,634.0,0.093444
635.0,635.0,0.49508446
636.0,636.0,0.04824892
637.0,637.0,0.09057698
638.0,638.0,0.09789595
639.0,639.0,0.0065324605
640.0,640.0,0.011460033
641.0,641.0,0.6655786
642.0,642.0,0.2747945
643.0,643.0,0.6548498
644.0,644.0,0.046828315
645.0,645.0,0.1989288
646.0,646.0,0.8333567
647.0,647.0,0.22706461
648.0,648.0,0.59572357
649.0,649.0,0.9156309
650.0,650.0,0.616094
651.0,651.0,0.20523444
652.0,652.0,0.06975129
653.0,653.0,5.873348E-4
654.0,654.0,0.6524098
655.0,655.0,0.6197305
656.0,656.0,0.1817425
657.0,657.0,0.4730193
658.0,658.0,0.06855162
659.0,659.0,0.8451544
660.0,660.0,0.5707577
661.0,661.0,0.4203126
662.0,662.0,0.19621283
663.0,663.0,0.96686244
664.0,664.0,0.9964325
665.0,665.0,0.0024554203
666.0,666.0,0.42005658
667.0,667.0,0.540805
668.0,668.0,0.63520765
669.0,669.0,0.59907347
670.0,670.0,0.418228
671.0,671.0,0.3915054
672.0,672.0,0.12461167
673.0,673.0,0.0035543698
674.0,674.0,0.12410881
675.0,675.0,0.21136361
676.0,676.0,0.3094968
677.0,677.0,0.107043944
678.0,678.0,0.3172998
679.0,679.0,0.49736062
680.0,680.0,0.032349464
681.0,681.0,0.19818681
682.0,682.0,0.067897454
683.0,683.0,0.23988433
684.0,684.0,0.0045896256
685.0,685.0,0.014007929
686.0,686.0,0.02328541
687.0,687.0,0.37518638
688.0,688.0,0.4859457
689.0,689.0,0.19442007
690.0,690.0,0.673205
691.0,691.0,0.018717052
692.0,692.0,0.98955107
693.0,693.0,0.1504152
694.0,694.0,0.0074952375
695.0,695.0,0.7147934
696.0,696.0,3.8091195E-4
697.0,697.0,0.004477101
698.0,698.0,0.6798203
699.0,699.0,0.12132502
700.0,700.0,0.036516838
701.0,701.0,0.23169856
702.0,702.0,0.39751005
703.0,703.0,0.1609635
704.0,704.0,0.063427106
705.0,705.0,0.033504363
706.0,706.0,0.1725647
707.0,707.0,0.37226865
708.0,708.0,0.44712043
